round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.5530
22,phase2,0.0276
23,phase2,0.0270
24,phase2,0.0270
25,phase2,0.0262
26,phase2,0.0270
27,phase2,0.0292
28,phase2,0.0280
29,phase2,0.0270
30,phase2,0.0270
31,phase2,0.0307
32,phase2,0.0281
33,phase2,0.0260
34,phase2,0.0280
35,phase2,0.0280
36,phase2,0.0277
37,phase2,0.0270
38,phase2,0.0280
39,phase2,0.0280
40,phase2,0.0285
41,phase2,0.0270
42,phase2,0.0266
43,phase2,0.0301
44,phase2,0.0275
45,phase2,0.0271
46,phase2,0.0273
47,phase2,0.0266
48,phase2,0.0280
49,phase2,0.0286
50,phase2,0.0271
