round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0392
22,phase2,0.0381
23,phase2,0.0262
24,phase2,0.0367
25,phase2,0.0356
26,phase2,0.0388
27,phase2,0.0354
28,phase2,0.0346
29,phase2,0.0257
30,phase2,0.0329
31,phase2,0.0342
32,phase2,0.0347
33,phase2,0.0353
34,phase2,0.0349
35,phase2,0.0406
36,phase2,0.0284
37,phase2,0.0371
38,phase2,0.0333
39,phase2,0.0496
40,phase2,0.0353
41,phase2,0.0344
42,phase2,0.0330
43,phase2,0.0305
44,phase2,0.0447
45,phase2,0.0331
46,phase2,0.0398
47,phase2,0.0407
48,phase2,0.0294
49,phase2,0.0346
50,phase2,0.0341
