round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.5614
22,phase2,0.0270
23,phase2,0.0303
24,phase2,0.0275
25,phase2,0.0283
26,phase2,0.0254
27,phase2,0.0282
28,phase2,0.0343
29,phase2,0.0286
30,phase2,0.0347
31,phase2,0.0290
32,phase2,0.0277
33,phase2,0.0275
34,phase2,0.0254
35,phase2,0.0301
36,phase2,0.0279
37,phase2,0.0269
38,phase2,0.0262
39,phase2,0.0275
40,phase2,0.0294
41,phase2,0.0270
42,phase2,0.0282
43,phase2,0.0269
44,phase2,0.0259
45,phase2,0.0304
46,phase2,0.0271
47,phase2,0.0257
48,phase2,0.0281
49,phase2,0.0287
50,phase2,0.0235
