round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.5673
22,phase2,0.0275
23,phase2,0.0273
24,phase2,0.0262
25,phase2,0.0258
26,phase2,0.0267
27,phase2,0.0263
28,phase2,0.0268
29,phase2,0.0265
30,phase2,0.0281
31,phase2,0.0289
32,phase2,0.0280
33,phase2,0.0256
34,phase2,0.0271
35,phase2,0.0247
36,phase2,0.0260
37,phase2,0.0233
38,phase2,0.0233
39,phase2,0.0269
40,phase2,0.0389
41,phase2,0.0281
42,phase2,0.0296
43,phase2,0.0269
44,phase2,0.0229
45,phase2,0.0278
46,phase2,0.0259
47,phase2,0.0263
48,phase2,0.0299
49,phase2,0.0254
50,phase2,0.0251
