round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.5337
22,phase2,0.0270
23,phase2,0.0260
24,phase2,0.0270
25,phase2,0.0267
26,phase2,0.0278
27,phase2,0.0259
28,phase2,0.0258
29,phase2,0.0265
30,phase2,0.0281
31,phase2,0.0317
32,phase2,0.0273
33,phase2,0.0236
34,phase2,0.0262
35,phase2,0.0299
36,phase2,0.0271
37,phase2,0.0280
38,phase2,0.0311
39,phase2,0.0252
40,phase2,0.0286
41,phase2,0.0429
42,phase2,0.0269
43,phase2,0.0295
44,phase2,0.0407
45,phase2,0.0301
46,phase2,0.0272
47,phase2,0.0270
48,phase2,0.0262
49,phase2,0.0278
50,phase2,0.0277
