round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0240
22,phase2,0.0357
23,phase2,0.0242
24,phase2,0.0261
25,phase2,0.0252
26,phase2,0.0249
27,phase2,0.0272
28,phase2,0.0246
29,phase2,0.0248
30,phase2,0.0220
31,phase2,0.0247
32,phase2,0.0245
33,phase2,0.0257
34,phase2,0.0257
35,phase2,0.0161
36,phase2,0.0285
37,phase2,0.0245
38,phase2,0.0248
39,phase2,0.0255
40,phase2,0.0245
41,phase2,0.0216
42,phase2,0.0126
43,phase2,0.0252
44,phase2,0.0243
45,phase2,0.0243
46,phase2,0.0258
47,phase2,0.0249
48,phase2,0.0253
49,phase2,0.0244
50,phase2,0.0251
