round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0368
22,phase2,0.0345
23,phase2,0.0350
24,phase2,0.0350
25,phase2,0.0350
26,phase2,0.0350
27,phase2,0.0353
28,phase2,0.0350
29,phase2,0.0471
30,phase2,0.0477
31,phase2,0.0371
32,phase2,0.0375
33,phase2,0.0334
34,phase2,0.0343
35,phase2,0.0406
36,phase2,0.0343
37,phase2,0.0338
38,phase2,0.0324
39,phase2,0.0473
40,phase2,0.0416
41,phase2,0.0269
42,phase2,0.0351
43,phase2,0.0337
44,phase2,0.0194
45,phase2,0.0361
46,phase2,0.0391
47,phase2,0.0461
48,phase2,0.0333
49,phase2,0.0352
50,phase2,0.0354
