round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.5456
22,phase2,0.0261
23,phase2,0.0270
24,phase2,0.0290
25,phase2,0.0274
26,phase2,0.0281
27,phase2,0.0265
28,phase2,0.0265
29,phase2,0.0288
30,phase2,0.0280
31,phase2,0.0286
32,phase2,0.0272
33,phase2,0.0270
34,phase2,0.0284
35,phase2,0.0274
36,phase2,0.0270
37,phase2,0.0292
38,phase2,0.0320
39,phase2,0.0300
40,phase2,0.0290
41,phase2,0.0290
42,phase2,0.0280
43,phase2,0.0300
44,phase2,0.0320
45,phase2,0.0280
46,phase2,0.0310
47,phase2,0.0300
48,phase2,0.0313
49,phase2,0.0306
50,phase2,0.0300
