round,phase,sel_overhead_s
1,warmup,0.0000
2,warmup,0.0000
3,warmup,0.0000
4,warmup,0.0000
5,warmup,0.0000
6,warmup,0.0000
7,warmup,0.0000
8,warmup,0.0000
9,warmup,0.0000
10,warmup,0.0000
11,warmup,0.0000
12,warmup,0.0000
13,warmup,0.0000
14,warmup,0.0000
15,warmup,0.0000
16,warmup,0.0000
17,warmup,0.0000
18,warmup,0.0000
19,warmup,0.0000
20,warmup,0.0000
21,phase2,0.0328
22,phase2,0.0315
23,phase2,0.0307
24,phase2,0.0307
25,phase2,0.0328
26,phase2,0.0308
27,phase2,0.0300
28,phase2,0.0300
29,phase2,0.0300
30,phase2,0.0300
31,phase2,0.0300
32,phase2,0.0304
33,phase2,0.0290
34,phase2,0.0290
35,phase2,0.0300
36,phase2,0.0305
37,phase2,0.0357
38,phase2,0.0300
39,phase2,0.0307
40,phase2,0.0301
41,phase2,0.0305
42,phase2,0.0316
43,phase2,0.0321
44,phase2,0.0303
45,phase2,0.0300
46,phase2,0.0309
47,phase2,0.0300
48,phase2,0.0305
49,phase2,0.0300
50,phase2,0.0300
